timestamp_ms,a1x,a1y,a1z,g1x,g1y,g1z
5,1.177,9.624,0.866,0.0073,0.0086,-0.0012
10,1.144,9.614,0.852,0.0061,0.0049,0.0000
15,1.115,9.586,0.847,0.0086,0.0049,0.0000
20,1.163,9.619,0.861,0.0061,0.0061,0.0012
25,1.144,9.610,0.871,0.0061,0.0061,0.0024
30,1.149,9.624,0.871,0.0061,0.0061,0.0024
35,1.144,9.586,0.857,0.0049,0.0049,0.0024
40,1.144,9.629,0.861,0.0073,0.0049,0.0012
45,1.144,9.576,0.866,0.0061,0.0061,0.0024
50,1.125,9.605,0.866,0.0086,0.0061,0.0024
55,1.168,9.600,0.876,0.0073,0.0049,0.0024
60,1.163,9.600,0.871,0.0086,0.0049,0.0024
65,1.158,9.600,0.857,0.0086,0.0061,0.0037
70,1.158,9.605,0.876,0.0086,0.0049,0.0037
75,1.177,9.634,0.852,0.0073,0.0049,0.0024
80,1.139,9.610,0.876,0.0086,0.0073,0.0037
85,1.144,9.590,0.847,0.0098,0.0049,0.0037
90,1.163,9.590,0.828,0.0073,0.0061,0.0037
95,1.168,9.614,0.881,0.0073,0.0061,0.0024
100,1.149,9.634,0.871,0.0073,0.0024,0.0037
105,1.134,9.614,0.885,0.0086,0.0049,0.0037
110,1.120,9.600,0.852,0.0073,0.0024,0.0037
115,1.172,9.610,0.866,0.0061,0.0049,0.0049
120,1.149,9.624,0.881,0.0073,0.0061,0.0024
125,1.187,9.624,0.871,0.0086,0.0024,0.0049
130,1.168,9.614,0.876,0.0098,0.0049,0.0037
135,1.163,9.605,0.871,0.0073,0.0049,0.0037
140,1.144,9.605,0.861,0.0073,0.0037,0.0037
145,1.168,9.610,0.842,0.0061,0.0061,0.0024
150,1.168,9.605,0.871,0.0110,0.0061,0.0024
155,1.134,9.614,0.857,0.0086,0.0049,0.0024
160,1.139,9.638,0.866,0.0061,0.0049,0.0037
165,1.134,9.590,0.861,0.0086,0.0073,0.0024
170,1.172,9.610,0.904,0.0098,0.0061,0.0024
175,1.153,9.638,0.866,0.0086,0.0037,0.0024
180,1.139,9.581,0.852,0.0098,0.0061,0.0024
185,1.139,9.590,0.866,0.0073,0.0073,0.0024
190,1.149,9.619,0.857,0.0086,0.0061,0.0024
195,1.168,9.586,0.857,0.0086,0.0049,0.0000
200,1.163,9.605,0.866,0.0098,0.0037,0.0012
205,1.144,9.595,0.847,0.0049,0.0073,0.0012
210,1.163,9.600,0.852,0.0086,0.0049,0.0000
215,1.144,9.605,0.857,0.0073,0.0061,0.0000
220,1.134,9.586,0.842,0.0086,0.0049,0.0012
225,1.172,9.610,0.852,0.0061,0.0049,0.0000
230,1.125,9.595,0.857,0.0098,0.0061,-0.0012
235,1.158,9.590,0.833,0.0086,0.0061,-0.0024
240,1.149,9.605,0.857,0.0086,0.0049,-0.0012
245,1.211,9.614,0.852,0.0086,0.0086,-0.0012
250,1.139,9.624,0.890,0.0086,0.0061,-0.0024
255,1.149,9.610,0.890,0.0086,0.0061,-0.0012
260,1.139,9.619,0.881,0.0098,0.0061,-0.0037
265,1.144,9.638,0.871,0.0098,0.0061,-0.0037
270,1.125,9.619,0.876,0.0086,0.0061,-0.0037
275,1.139,9.619,0.861,0.0073,0.0061,-0.0024
280,1.134,9.600,0.890,0.0061,0.0049,-0.0012
285,1.163,9.595,0.861,0.0073,0.0061,0.0000
290,1.134,9.605,0.866,0.0073,0.0061,-0.0012
295,1.115,9.610,0.861,0.0086,0.0049,-0.0024
300,1.177,9.590,0.900,0.0061,0.0073,-0.0012
305,1.158,9.653,0.866,0.0086,0.0049,-0.0024
310,1.158,9.614,0.871,0.0086,0.0061,-0.0024
315,1.158,9.576,0.847,0.0073,0.0061,-0.0012
320,1.153,9.619,0.909,0.0073,0.0073,-0.0024
325,1.129,9.614,0.885,0.0086,0.0061,-0.0024
330,1.144,9.619,0.842,0.0086,0.0073,-0.0012
335,1.110,9.619,0.866,0.0073,0.0073,-0.0024
340,1.144,9.614,0.866,0.0086,0.0049,0.0000
345,1.139,9.619,0.866,0.0073,0.0073,-0.0012
350,1.158,9.629,0.823,0.0073,0.0049,0.0000
355,1.134,9.634,0.842,0.0073,0.0049,0.0000
360,1.144,9.619,0.881,0.0061,0.0073,0.0000
365,1.158,9.619,0.871,0.0086,0.0037,0.0012
370,1.144,9.619,0.881,0.0061,0.0061,0.0012
375,1.144,9.586,0.876,0.0073,0.0061,0.0000
380,1.158,9.590,0.876,0.0049,0.0049,0.0000
385,1.139,9.600,0.847,0.0073,0.0037,0.0012
390,1.144,9.605,0.890,0.0086,0.0073,0.0012
395,1.125,9.634,0.881,0.0086,0.0061,0.0000
400,1.153,9.605,0.866,0.0086,0.0073,0.0024
405,1.134,9.619,0.852,0.0098,0.0049,0.0037
410,1.149,9.624,0.857,0.0073,0.0073,0.0024
415,1.153,9.600,0.847,0.0098,0.0061,0.0024
420,1.115,9.634,0.852,0.0073,0.0061,0.0024
425,1.153,9.614,0.876,0.0073,0.0049,0.0024
430,1.153,9.600,0.890,0.0073,0.0073,0.0037
435,1.168,9.629,0.866,0.0073,0.0037,0.0037
440,1.115,9.619,0.881,0.0061,0.0049,0.0024
445,1.120,9.586,0.876,0.0086,0.0037,0.0049
450,1.158,9.586,0.871,0.0049,0.0061,0.0037
455,1.163,9.638,0.876,0.0086,0.0049,0.0037
460,1.187,9.595,0.890,0.0098,0.0073,0.0037
465,1.129,9.595,0.866,0.0086,0.0073,0.0037
470,1.125,9.624,0.881,0.0086,0.0061,0.0024
475,1.134,9.586,0.866,0.0073,0.0049,0.0024
480,1.144,9.634,0.861,0.0073,0.0073,0.0024
485,1.144,9.634,0.842,0.0073,0.0061,0.0024
490,1.153,9.643,0.837,0.0061,0.0073,0.0024
495,1.182,9.595,0.857,0.0086,0.0061,0.0037
500,1.144,9.600,0.857,0.0073,0.0061,0.0024
505,1.144,9.590,0.852,0.0061,0.0049,0.0049
510,1.172,9.610,0.871,0.0086,0.0037,0.0037
515,1.177,9.614,0.857,0.0073,0.0037,0.0037
520,1.153,9.590,0.837,0.0073,0.0049,0.0012
525,1.139,9.600,0.876,0.0086,0.0049,0.0012
530,1.153,9.614,0.890,0.0073,0.0049,0.0024
