timestamp_ms,a1x,a1y,a1z,g1x,g1y,g1z
5,-0.507,9.634,0.785,0.0147,0.0244,-0.2407
10,-0.474,9.672,0.775,0.0098,0.0244,-0.2370
15,-0.541,9.667,0.766,0.0086,0.0293,-0.2346
20,-0.517,9.677,0.790,0.0073,0.0281,-0.2346
25,-0.569,9.677,0.790,0.0049,0.0269,-0.2297
30,-0.627,9.657,0.799,0.0049,0.0269,-0.2260
35,-0.613,9.634,0.794,0.0049,0.0281,-0.2187
40,-0.598,9.653,0.823,0.0037,0.0257,-0.2150
45,-0.622,9.648,0.823,0.0061,0.0232,-0.2114
50,-0.665,9.648,0.823,0.0037,0.0220,-0.2065
55,-0.689,9.667,0.814,0.0061,0.0208,-0.1943
60,-0.680,9.648,0.809,0.0073,0.0183,-0.1857
65,-0.622,9.681,0.785,0.0073,0.0183,-0.1820
70,-0.613,9.667,0.799,0.0073,0.0159,-0.1784
75,-0.665,9.677,0.809,0.0061,0.0171,-0.1747
80,-0.665,9.648,0.818,0.0049,0.0183,-0.1686
85,-0.689,9.681,0.794,0.0024,0.0171,-0.1600
90,-0.660,9.634,0.804,0.0037,0.0195,-0.1576
95,-0.636,9.643,0.828,0.0024,0.0220,-0.1576
100,-0.737,9.638,0.828,0.0037,0.0220,-0.1527
105,-0.761,9.662,0.823,0.0037,0.0232,-0.1405
110,-0.756,9.657,0.828,0.0012,0.0232,-0.1307
115,-0.747,9.653,0.809,0.0049,0.0232,-0.1246
120,-0.770,9.648,0.818,0.0061,0.0208,-0.1185
125,-0.799,9.638,0.794,0.0049,0.0183,-0.1100
130,-0.833,9.643,0.799,0.0049,0.0171,-0.1014
135,-0.809,9.634,0.794,0.0037,0.0147,-0.0965
140,-0.828,9.657,0.828,0.0037,0.0122,-0.0880
145,-0.809,9.638,0.809,0.0024,0.0134,-0.0831
150,-0.794,9.667,0.785,0.0037,0.0110,-0.0709
155,-0.747,9.653,0.814,0.0037,0.0110,-0.0635
160,-0.732,9.657,0.794,0.0000,0.0110,-0.0586
165,-0.770,9.667,0.790,0.0024,0.0098,-0.0586
170,-0.737,9.638,0.809,0.0037,0.0110,-0.0550
