timestamp_ms,a1x,a1y,a1z,g1x,g1y,g1z
5,0.723,9.567,1.618,0.0061,0.0073,0.0037
10,0.718,9.543,1.646,0.0073,0.0061,0.0024
15,0.718,9.547,1.589,0.0086,0.0061,0.0037
20,0.689,9.543,1.622,0.0110,0.0073,0.0024
25,0.680,9.562,1.598,0.0098,0.0061,0.0000
30,0.694,9.547,1.598,0.0098,0.0061,0.0012
35,0.694,9.562,1.584,0.0086,0.0073,0.0012
40,0.708,9.557,1.608,0.0110,0.0037,0.0024
45,0.718,9.533,1.598,0.0098,0.0037,0.0012
50,0.680,9.567,1.594,0.0110,0.0049,0.0037
55,0.713,9.543,1.603,0.0098,0.0037,0.0037
60,0.713,9.567,1.589,0.0110,0.0037,0.0037
65,0.670,9.562,1.584,0.0086,0.0049,0.0024
70,0.703,9.552,1.574,0.0073,0.0049,0.0049
75,0.713,9.552,1.594,0.0061,0.0049,0.0049
80,0.727,9.576,1.589,0.0086,0.0061,0.0037
85,0.708,9.576,1.598,0.0061,0.0073,0.0037
90,0.732,9.567,1.594,0.0061,0.0073,0.0024
95,0.694,9.562,1.598,0.0061,0.0073,0.0024
100,0.718,9.567,1.598,0.0049,0.0073,0.0024
105,0.747,9.571,1.622,0.0086,0.0061,0.0000
110,0.694,9.533,1.608,0.0061,0.0086,0.0000
115,0.713,9.552,1.574,0.0073,0.0061,-0.0012
120,0.737,9.557,1.598,0.0110,0.0073,-0.0012
125,0.713,9.523,1.570,0.0098,0.0073,0.0000
130,0.718,9.547,1.603,0.0122,0.0073,0.0000
135,0.727,9.552,1.594,0.0086,0.0061,-0.0012
140,0.675,9.538,1.594,0.0110,0.0049,0.0000
145,0.699,9.571,1.589,0.0073,0.0073,-0.0012
150,0.718,9.576,1.598,0.0086,0.0061,0.0000
155,0.699,9.576,1.589,0.0073,0.0061,0.0012
160,0.684,9.557,1.603,0.0086,0.0049,0.0012
165,0.732,9.552,1.598,0.0073,0.0061,-0.0012
170,0.689,9.576,1.608,0.0037,0.0049,-0.0024
175,0.742,9.552,1.594,0.0073,0.0061,-0.0024
180,0.732,9.533,1.622,0.0086,0.0037,-0.0012
185,0.694,9.547,1.627,0.0073,0.0061,-0.0024
190,0.718,9.557,1.627,0.0122,0.0061,-0.0012
195,0.732,9.557,1.608,0.0098,0.0086,-0.0024
200,0.708,9.571,1.618,0.0110,0.0073,-0.0037
205,0.742,9.567,1.594,0.0122,0.0073,-0.0049
210,0.713,9.543,1.546,0.0098,0.0073,-0.0061
215,0.680,9.567,1.589,0.0110,0.0024,-0.0037
220,0.675,9.571,1.584,0.0122,0.0049,-0.0024
225,0.708,9.571,1.608,0.0098,0.0061,-0.0024
230,0.694,9.567,1.603,0.0073,0.0073,-0.0024
235,0.708,9.533,1.565,0.0073,0.0061,-0.0012
240,0.727,9.552,1.603,0.0073,0.0073,-0.0012
245,0.660,9.567,1.613,0.0061,0.0049,0.0000
250,0.699,9.557,1.603,0.0073,0.0037,-0.0012
255,0.718,9.562,1.598,0.0073,0.0049,0.0012
260,0.675,9.557,1.555,0.0061,0.0061,-0.0012
265,0.703,9.567,1.618,0.0098,0.0049,0.0000
270,0.699,9.547,1.603,0.0086,0.0049,0.0000
275,0.708,9.552,1.589,0.0110,0.0049,0.0012
280,0.732,9.571,1.589,0.0098,0.0061,0.0000
285,0.713,9.581,1.598,0.0122,0.0049,-0.0012
290,0.723,9.581,1.618,0.0110,0.0061,-0.0012
295,0.718,9.567,1.622,0.0110,0.0037,-0.0012
300,0.694,9.547,1.622,0.0110,0.0061,-0.0012
305,0.727,9.552,1.598,0.0098,0.0061,0.0000
310,0.689,9.543,1.579,0.0110,0.0073,0.0012
315,0.708,9.576,1.603,0.0061,0.0073,0.0012
320,0.713,9.547,1.598,0.0073,0.0061,0.0000
325,0.723,9.571,1.594,0.0037,0.0086,0.0000
330,0.708,9.543,1.603,0.0073,0.0037,0.0012
335,0.699,9.567,1.598,0.0061,0.0073,0.0024
340,0.703,9.547,1.589,0.0061,0.0061,0.0024
345,0.713,9.528,1.622,0.0086,0.0049,0.0037
350,0.718,9.562,1.584,0.0073,0.0061,0.0037
355,0.751,9.562,1.627,0.0086,0.0024,0.0024
360,0.689,9.557,1.589,0.0098,0.0049,0.0024
365,0.718,9.547,1.598,0.0122,0.0049,0.0024
370,0.742,9.562,1.603,0.0110,0.0049,0.0024
375,0.718,9.552,1.613,0.0110,0.0061,0.0024
380,0.732,9.562,1.560,0.0110,0.0061,0.0012
385,0.699,9.552,1.570,0.0098,0.0049,0.0012
390,0.703,9.543,1.594,0.0098,0.0037,0.0024
