timestamp_ms,a1x,a1y,a1z,g1x,g1y,g1z
5,-0.488,9.533,1.747,0.0159,0.0073,0.0061
10,-0.517,9.543,1.761,0.0134,0.0049,0.0061
15,-0.493,9.533,1.771,0.0134,0.0073,0.0061
20,-0.517,9.547,1.761,0.0159,0.0061,0.0037
25,-0.502,9.562,1.775,0.0134,0.0061,0.0024
30,-0.546,9.562,1.747,0.0122,0.0049,0.0012
35,-0.531,9.538,1.742,0.0134,0.0061,0.0000
40,-0.522,9.547,1.747,0.0122,0.0073,0.0000
45,-0.522,9.557,1.771,0.0134,0.0061,-0.0012
50,-0.517,9.538,1.737,0.0122,0.0049,-0.0037
55,-0.517,9.538,1.761,0.0147,0.0037,-0.0037
60,-0.483,9.567,1.761,0.0134,0.0049,-0.0037
65,-0.517,9.576,1.771,0.0147,0.0061,-0.0049
70,-0.526,9.562,1.775,0.0122,0.0061,-0.0073
75,-0.555,9.538,1.761,0.0122,0.0086,-0.0073
80,-0.536,9.538,1.775,0.0134,0.0073,-0.0086
85,-0.507,9.523,1.785,0.0122,0.0073,-0.0098
90,-0.512,9.557,1.766,0.0134,0.0086,-0.0098
95,-0.526,9.562,1.790,0.0122,0.0098,-0.0110
100,-0.498,9.543,1.780,0.0134,0.0086,-0.0122
105,-0.560,9.557,1.785,0.0147,0.0086,-0.0122
110,-0.541,9.547,1.737,0.0122,0.0098,-0.0122
115,-0.512,9.552,1.775,0.0134,0.0086,-0.0147
120,-0.493,9.600,1.771,0.0134,0.0086,-0.0134
125,-0.512,9.538,1.766,0.0134,0.0086,-0.0134
130,-0.531,9.547,1.737,0.0110,0.0086,-0.0147
135,-0.522,9.533,1.766,0.0134,0.0086,-0.0134
140,-0.498,9.519,1.742,0.0098,0.0086,-0.0159
145,-0.541,9.514,1.728,0.0134,0.0086,-0.0147
150,-0.526,9.552,1.761,0.0134,0.0086,-0.0159
155,-0.531,9.557,1.766,0.0122,0.0098,-0.0159
160,-0.550,9.547,1.771,0.0147,0.0098,-0.0159
165,-0.546,9.552,1.756,0.0122,0.0086,-0.0159
170,-0.565,9.543,1.775,0.0134,0.0110,-0.0147
175,-0.574,9.576,1.761,0.0159,0.0086,-0.0159
180,-0.546,9.543,1.790,0.0134,0.0098,-0.0147
185,-0.546,9.586,1.785,0.0122,0.0086,-0.0134
190,-0.584,9.562,1.766,0.0122,0.0098,-0.0122
195,-0.541,9.552,1.766,0.0134,0.0086,-0.0110
200,-0.555,9.543,1.752,0.0122,0.0086,-0.0110
205,-0.546,9.552,1.752,0.0134,0.0086,-0.0122
210,-0.546,9.533,1.742,0.0147,0.0073,-0.0098
215,-0.593,9.552,1.752,0.0134,0.0061,-0.0098
220,-0.574,9.543,1.723,0.0147,0.0086,-0.0086
225,-0.569,9.533,1.766,0.0122,0.0073,-0.0061
230,-0.531,9.547,1.756,0.0122,0.0073,-0.0049
235,-0.560,9.567,1.771,0.0134,0.0073,-0.0049
240,-0.565,9.547,1.775,0.0134,0.0086,-0.0049
245,-0.526,9.557,1.756,0.0134,0.0073,-0.0037
250,-0.560,9.547,1.766,0.0134,0.0061,-0.0024
255,-0.574,9.528,1.775,0.0159,0.0049,-0.0037
260,-0.574,9.528,1.761,0.0159,0.0049,-0.0012
265,-0.517,9.547,1.742,0.0147,0.0073,-0.0012
270,-0.579,9.557,1.785,0.0134,0.0049,0.0000
275,-0.526,9.543,1.756,0.0122,0.0073,0.0024
280,-0.546,9.567,1.756,0.0134,0.0049,0.0024
285,-0.565,9.547,1.775,0.0122,0.0049,0.0024
290,-0.555,9.538,1.761,0.0134,0.0061,0.0049
295,-0.546,9.543,1.752,0.0159,0.0037,0.0037
300,-0.555,9.557,1.771,0.0122,0.0061,0.0037
305,-0.579,9.567,1.790,0.0147,0.0073,0.0073
310,-0.517,9.552,1.790,0.0122,0.0049,0.0073
315,-0.579,9.571,1.766,0.0159,0.0061,0.0073
320,-0.541,9.538,1.771,0.0134,0.0037,0.0098
325,-0.560,9.557,1.742,0.0147,0.0061,0.0073
330,-0.579,9.552,1.766,0.0134,0.0037,0.0110
335,-0.579,9.552,1.809,0.0110,0.0049,0.0122
