timestamp_ms,a1x,a1y,a1z,g1x,g1y,g1z
5,0.172,9.672,1.287,0.0110,0.0061,0.0012
10,0.163,9.638,1.297,0.0110,0.0061,0.0012
15,0.163,9.653,1.287,0.0122,0.0061,0.0000
20,0.187,9.667,1.273,0.0134,0.0049,0.0012
25,0.206,9.657,1.263,0.0122,0.0049,0.0000
30,0.177,9.634,1.273,0.0122,0.0061,0.0012
35,0.196,9.643,1.297,0.0122,0.0049,0.0012
40,0.182,9.653,1.302,0.0122,0.0061,0.0000
45,0.177,9.653,1.278,0.0122,0.0073,0.0000
50,0.172,9.672,1.306,0.0147,0.0049,0.0012
55,0.167,9.662,1.283,0.0147,0.0073,0.0000
60,0.158,9.624,1.273,0.0134,0.0049,0.0024
65,0.177,9.643,1.283,0.0134,0.0061,0.0000
70,0.182,9.629,1.278,0.0147,0.0049,0.0000
75,0.163,9.657,1.283,0.0122,0.0073,0.0024
80,0.196,9.653,1.283,0.0147,0.0037,0.0012
85,0.153,9.624,1.297,0.0134,0.0061,0.0012
90,0.187,9.653,1.283,0.0122,0.0049,0.0000
95,0.182,9.653,1.297,0.0110,0.0061,0.0012
100,0.172,9.657,1.283,0.0122,0.0073,0.0012
105,0.177,9.629,1.297,0.0134,0.0049,0.0012
110,0.148,9.648,1.273,0.0147,0.0061,0.0012
115,0.177,9.657,1.278,0.0134,0.0061,0.0000
120,0.148,9.648,1.278,0.0122,0.0073,0.0012
125,0.163,9.667,1.283,0.0134,0.0049,0.0012
130,0.148,9.643,1.306,0.0110,0.0073,0.0024
135,0.163,9.657,1.292,0.0122,0.0061,0.0000
140,0.187,9.653,1.278,0.0122,0.0061,0.0012
145,0.158,9.662,1.292,0.0122,0.0061,0.0024
150,0.129,9.662,1.283,0.0122,0.0061,0.0024
155,0.182,9.643,1.287,0.0147,0.0049,0.0000
160,0.158,9.677,1.283,0.0134,0.0073,0.0000
165,0.182,9.657,1.263,0.0110,0.0061,0.0000
170,0.167,9.662,1.278,0.0110,0.0061,0.0000
175,0.148,9.672,1.283,0.0110,0.0073,0.0012
180,0.148,9.648,1.287,0.0110,0.0049,0.0012
185,0.206,9.653,1.297,0.0122,0.0061,0.0000
190,0.163,9.648,1.297,0.0134,0.0061,0.0024
195,0.129,9.629,1.292,0.0134,0.0061,0.0012
200,0.167,9.638,1.259,0.0134,0.0073,0.0012
205,0.191,9.643,1.268,0.0134,0.0049,0.0012
210,0.158,9.657,1.263,0.0134,0.0049,0.0000
215,0.182,9.634,1.263,0.0147,0.0049,0.0012
220,0.177,9.638,1.287,0.0098,0.0061,0.0000
225,0.182,9.634,1.273,0.0122,0.0061,0.0012
230,0.177,9.648,1.302,0.0122,0.0061,0.0012
235,0.177,9.657,1.292,0.0122,0.0037,0.0012
240,0.196,9.667,1.287,0.0134,0.0037,0.0000
245,0.167,9.662,1.259,0.0122,0.0049,0.0012
250,0.187,9.662,1.273,0.0110,0.0073,0.0012
255,0.163,9.638,1.254,0.0122,0.0061,0.0000
260,0.201,9.648,1.263,0.0110,0.0061,0.0000
265,0.153,9.638,1.311,0.0134,0.0061,0.0024
270,0.172,9.662,1.268,0.0134,0.0061,0.0012
275,0.177,9.657,1.287,0.0122,0.0049,0.0012
280,0.144,9.653,1.292,0.0134,0.0073,0.0012
285,0.177,9.648,1.287,0.0134,0.0037,0.0012
290,0.148,9.653,1.268,0.0122,0.0037,0.0012
295,0.167,9.657,1.302,0.0122,0.0049,0.0012
300,0.158,9.638,1.311,0.0134,0.0061,0.0012
305,0.148,9.662,1.306,0.0122,0.0073,0.0024
310,0.167,9.648,1.311,0.0134,0.0061,0.0000
315,0.148,9.672,1.263,0.0110,0.0061,0.0012
320,0.172,9.648,1.297,0.0134,0.0049,0.0000
325,0.191,9.653,1.278,0.0098,0.0073,0.0024
330,0.187,9.643,1.292,0.0159,0.0049,0.0012
335,0.148,9.662,1.302,0.0134,0.0037,0.0012
340,0.201,9.638,1.273,0.0134,0.0061,0.0000
345,0.153,9.648,1.292,0.0134,0.0061,0.0012
350,0.182,9.648,1.297,0.0122,0.0061,0.0012
355,0.148,9.629,1.273,0.0110,0.0061,0.0012
360,0.153,9.629,1.292,0.0134,0.0061,0.0012
365,0.158,9.653,1.287,0.0122,0.0073,0.0012
370,0.163,9.667,1.278,0.0134,0.0061,0.0024
375,0.167,9.648,1.302,0.0134,0.0049,0.0012
380,0.172,9.657,1.287,0.0147,0.0073,0.0000
385,0.177,9.638,1.297,0.0134,0.0073,0.0012
390,0.206,9.657,1.283,0.0110,0.0061,0.0012
